year,class,item,emirate,nationality,value
1995,5 star,guests,abu dhabi,Iran,332
1995,5 star,nights,abu dhabi,Iran,823
1995,4 star,guests,abu dhabi,Iran,917
1995,4star,nights,abu dhabi,Iran,4449
1995,3 star,guests,abu dhabi,Iran,66
1995,3 star,nights,abu dhabi,Iran,117
1995,2 star,guests,abu dhabi,Iran,0
1995,2 star,nights,abu dhabi,Iran,0
1995,5 star,guests,dubai,Iran,3655
1995,5 star,nights,dubai,Iran,7834
1995,4 star,guests,dubai,Iran,3427
1995,4star,nights,dubai,Iran,9434
1995,3 star,guests,dubai,Iran,6037
1995,3 star,nights,dubai,Iran,15030
1995,2 star,guests,dubai,Iran,25140
1995,2 star,nights,dubai,Iran,84068
1995,5 star,guests,sharjah,Iran,214
1995,5 star,nights,sharjah,Iran,1671
1995,4 star,guests,sharjah,Iran,1409
1995,4star,nights,sharjah,Iran,6147
1995,3 star,guests,sharjah,Iran,0
1995,3 star,nights,sharjah,Iran,0
1995,2 star,guests,sharjah,Iran,0
1995,2 star,nights,sharjah,Iran,0
1995,5 star,guests,Ajman and Umm Al-Qiwain,Iran,0
1995,5 star,nights,Ajman and Umm Al-Qiwain,Iran,0
1995,4 star,guests,Ajman and Umm Al-Qiwain,Iran,0
1995,4star,nights,Ajman and Umm Al-Qiwain,Iran,0
1995,3 star,guests,Ajman and Umm Al-Qiwain,Iran,0
1995,3 star,nights,Ajman and Umm Al-Qiwain,Iran,0
1995,2 star,guests,Ajman and Umm Al-Qiwain,Iran,0
1995,2 star,nights,Ajman and Umm Al-Qiwain,Iran,0
1995,5 star,guests,Ras Al Khaima & Fujeira,Iran,0
1995,5 star,nights,Ras Al Khaima & Fujeira,Iran,0
1995,4 star,guests,Ras Al Khaima & Fujeira,Iran,0
1995,4star,nights,Ras Al Khaima & Fujeira,Iran,0
1995,3 star,guests,Ras Al Khaima & Fujeira,Iran,0
1995,3 star,nights,Ras Al Khaima & Fujeira,Iran,0
1995,2 star,guests,Ras Al Khaima & Fujeira,Iran,0
1995,2 star,nights,Ras Al Khaima & Fujeira,Iran,0
1994,5 star,guests,abu dhabi,Iran,443
1994,5 star,nights,abu dhabi,Iran,928
1994,4 star,guests,abu dhabi,Iran,683
1994,4star,nights,abu dhabi,Iran,4260
1994,3 star,guests,abu dhabi,Iran,48
1994,3 star,nights,abu dhabi,Iran,132
1994,2 star,guests,abu dhabi,Iran,0
1994,2 star,nights,abu dhabi,Iran,0
1994,5 star,guests,dubai,Iran,2792
1994,5 star,nights,dubai,Iran,7627
1994,4 star,guests,dubai,Iran,4483
1994,4star,nights,dubai,Iran,12115
1994,3 star,guests,dubai,Iran,3232
1994,3 star,nights,dubai,Iran,9059
1994,2 star,guests,dubai,Iran,20738
1994,2 star,nights,dubai,Iran,69534
1994,5 star,guests,sharjah,Iran,349
1994,5 star,nights,sharjah,Iran,2469
1994,4 star,guests,sharjah,Iran,1195
1994,4star,nights,sharjah,Iran,7570
1994,3 star,guests,sharjah,Iran,0
1994,3 star,nights,sharjah,Iran,0
1994,2 star,guests,sharjah,Iran,0
1994,2 star,nights,sharjah,Iran,0
1994,5 star,guests,Ajman and Umm Al-Qiwain,Iran,0
1994,5 star,nights,Ajman and Umm Al-Qiwain,Iran,0
1994,4 star,guests,Ajman and Umm Al-Qiwain,Iran,0
1994,4star,nights,Ajman and Umm Al-Qiwain,Iran,0
1994,3 star,guests,Ajman and Umm Al-Qiwain,Iran,0
1994,3 star,nights,Ajman and Umm Al-Qiwain,Iran,0
1994,2 star,guests,Ajman and Umm Al-Qiwain,Iran,0
1994,2 star,nights,Ajman and Umm Al-Qiwain,Iran,0
1994,5 star,guests,Ras Al Khaima & Fujeira,Iran,0
1994,5 star,nights,Ras Al Khaima & Fujeira,Iran,0
1994,4 star,guests,Ras Al Khaima & Fujeira,Iran,0
1994,4star,nights,Ras Al Khaima & Fujeira,Iran,0
1994,3 star,guests,Ras Al Khaima & Fujeira,Iran,0
1994,3 star,nights,Ras Al Khaima & Fujeira,Iran,0
1994,2 star,guests,Ras Al Khaima & Fujeira,Iran,0
1994,2 star,nights,Ras Al Khaima & Fujeira,Iran,0
1993,5 star,guests,abu dhabi,Iran,292
1993,5 star,nights,abu dhabi,Iran,1027
1993,4 star,guests,abu dhabi,Iran,752
1993,4star,nights,abu dhabi,Iran,4563
1993,3 star,guests,abu dhabi,Iran,67
