year,class,item,emirate,nationality,value
1995,5 star,guests,abu dhabi,Britan,27152
1995,5 star,nights,abu dhabi,Britan,75620
1995,4 star,guests,abu dhabi,Britan,17183
1995,4star,nights,abu dhabi,Britan,108472
1995,3 star,guests,abu dhabi,Britan,355
1995,3 star,nights,abu dhabi,Britan,770
1995,2 star,guests,abu dhabi,Britan,0
1995,2 star,nights,abu dhabi,Britan,0
1995,5 star,guests,dubai,Britan,88822
1995,5 star,nights,dubai,Britan,197032
1995,4 star,guests,dubai,Britan,16760
1995,4star,nights,dubai,Britan,50834
1995,3 star,guests,dubai,Britan,3053
1995,3 star,nights,dubai,Britan,9164
1995,2 star,guests,dubai,Britan,2039
1995,2 star,nights,dubai,Britan,5668
1995,5 star,guests,sharjah,Britan,3240
1995,5 star,nights,sharjah,Britan,12979
1995,4 star,guests,sharjah,Britan,2817
1995,4star,nights,sharjah,Britan,9830
1995,3 star,guests,sharjah,Britan,0
1995,3 star,nights,sharjah,Britan,0
1995,2 star,guests,sharjah,Britan,0
1995,2 star,nights,sharjah,Britan,0
1995,5 star,guests,Ajman and Umm Al-Qiwain  ,Britan,0
1995,5 star,nights,Ajman and Umm Al-Qiwain  ,Britan,0
1995,4 star,guests,Ajman and Umm Al-Qiwain  ,Britan,0
1995,4star,nights,Ajman and Umm Al-Qiwain  ,Britan,0
1995,3 star,guests,Ajman and Umm Al-Qiwain  ,Britan,0
1995,3 star,nights,Ajman and Umm Al-Qiwain  ,Britan,0
1995,2 star,guests,Ajman and Umm Al-Qiwain  ,Britan,0
1995,2 star,nights,Ajman and Umm Al-Qiwain  ,Britan,0
1995,5 star,guests, Ras Al Khaima & Fujeira,Britan,0
1995,5 star,nights, Ras Al Khaima & Fujeira,Britan,0
1995,4 star,guests, Ras Al Khaima & Fujeira,Britan,0
1995,4star,nights, Ras Al Khaima & Fujeira,Britan,0
1995,3 star,guests, Ras Al Khaima & Fujeira,Britan,0
1995,3 star,nights, Ras Al Khaima & Fujeira,Britan,0
1995,2 star,guests, Ras Al Khaima & Fujeira,Britan,0
1995,2 star,nights, Ras Al Khaima & Fujeira,Britan,0
1994,5 star,guests,abu dhabi,Britan,21776
1994,5 star,nights,abu dhabi,Britan,67738
1994,4 star,guests,abu dhabi,Britan,13515
1994,4star,nights,abu dhabi,Britan,93982
1994,3 star,guests,abu dhabi,Britan,327
1994,3 star,nights,abu dhabi,Britan,959
1994,2 star,guests,abu dhabi,Britan,0
1994,2 star,nights,abu dhabi,Britan,0
1994,5 star,guests,dubai,Britan,61357
1994,5 star,nights,dubai,Britan,179354
1994,4 star,guests,dubai,Britan,16718
1994,4star,nights,dubai,Britan,43367
1994,3 star,guests,dubai,Britan,1596
1994,3 star,nights,dubai,Britan,5895
1994,2 star,guests,dubai,Britan,1456
1994,2 star,nights,dubai,Britan,4337
