year,class,emirate,nationality,guests,nights
1995,5 star,abu dhabi,U. A. E,28200,63122
1995,4 star,abu dhabi,U. A. E,26756,53091
1995,3 star ,abu dhabi,U. A. E,10520,12499
1995,2 star,abu dhabi,U. A. E,0,0
1995,5 star,dubai,U. A. E,49744,78548
1995,4 star,dubai,U. A. E,12949,18852
1995,3 star ,dubai,U. A. E,9606,18643
1995,2 star,dubai,U. A. E,18055,30599
1995,5 star,sharjah,U. A. E,14950,21827
1995,4 star,sharjah,U. A. E,21752,29854
1995,3 star ,sharjah,U. A. E,0,0
1995,2 star,sharjah,U. A. E,0,0
1995,5 star, Ajman and Umm Al-Qiwain,U. A. E,0,0
1995,4 star, Ajman and Umm Al-Qiwain,U. A. E,0,0
1995,3 star , Ajman and Umm Al-Qiwain,U. A. E,0,0
1995,2 star, Ajman and Umm Al-Qiwain,U. A. E,0,0
1995,5 star,  Ras Al Khaima & Fujeira ,U. A. E,0,0
1995,4 star,  Ras Al Khaima & Fujeira ,U. A. E,0,0
1995,3 star ,  Ras Al Khaima & Fujeira ,U. A. E,0,0
1995,2 star,  Ras Al Khaima & Fujeira ,U. A. E,0,0
1994,5 star,abu dhabi,U. A. E,23427,57655
1994,4 star,abu dhabi,U. A. E,20731,49760
1994,3 star ,abu dhabi,U. A. E,10659,15615
1994,2 star,abu dhabi,U. A. E,0,0
1994,5 star,dubai,U. A. E,28589,51769
1994,4 star,dubai,U. A. E,14985,22570
1994,3 star ,dubai,U. A. E,9949,13430
1994,2 star,dubai,U. A. E,15341,23594
1994,5 star,sharjah,U. A. E,18211,27758
1994,4 star,sharjah,U. A. E,19035,31040
1994,3 star ,sharjah,U. A. E,0,0
1994,2 star,sharjah,U. A. E,0,0
1994,5 star, Ajman and Umm Al-Qiwain,U. A. E,0,0
1994,4 star, Ajman and Umm Al-Qiwain,U. A. E,0,0
1994,3 star , Ajman and Umm Al-Qiwain,U. A. E,0,0
1994,2 star, Ajman and Umm Al-Qiwain,U. A. E,0,0
1994,5 star,  Ras Al Khaima & Fujeira ,U. A. E,0,0
1994,4 star,  Ras Al Khaima & Fujeira ,U. A. E,0,0
1994,3 star ,  Ras Al Khaima & Fujeira ,U. A. E,0,0
1994,2 star,  Ras Al Khaima & Fujeira ,U. A. E,0,0
1993,5 star,abu dhabi,U. A. E,15789,33325
1993,4 star,abu dhabi,U. A. E,17172,40197
1993,3 star ,abu dhabi,U. A. E,8170,10961
1993,2 star,abu dhabi,U. A. E,0,0
1993,5 star,dubai,U. A. E,24515,44824
1993,4 star,dubai,U. A. E,10030,14929
1993,3 star ,dubai,U. A. E,11948,16566
1993,2 star,dubai,U. A. E,10845,17750
1993,5 star,sharjah,U. A. E,18119,31651
1993,4 star,sharjah,U. A. E,23555,36181
1993,3 star ,sharjah,U. A. E,0,0
1993,2 star,sharjah,U. A. E,0,0
1993,5 star, Ajman and Umm Al-Qiwain,U. A. E,0,0
1993,4 star, Ajman and Umm Al-Qiwain,U. A. E,0,0
1993,3 star , Ajman and Umm Al-Qiwain,U. A. E,0,0
1993,2 star, Ajman and Umm Al-Qiwain,U. A. E,0,0
1993,5 star,  Ras Al Khaima & Fujeira ,U. A. E,0,0
1993,4 star,  Ras Al Khaima & Fujeira ,U. A. E,0,0
1993,3 star ,  Ras Al Khaima & Fujeira ,U. A. E,0,0
1993,2 star,  Ras Al Khaima & Fujeira ,U. A. E,0,0
1992,5 star,abu dhabi,U. A. E,13946,30129
1992,4 star,abu dhabi,U. A. E,14256,38049
1992,3 star ,abu dhabi,U. A. E,7579,11216
1992,2 star,abu dhabi,U. A. E,0,0
1992,5 star,dubai,U. A. E,18735,33164
1992,4 star,dubai,U. A. E,9325,12554
1992,3 star ,dubai,U. A. E,7048,9677
1992,2 star,dubai,U. A. E,20701,30496
1992,5 star,sharjah,U. A. E,23854,37931
1992,4 star,sharjah,U. A. E,21620,33090
1992,3 star ,sharjah,U. A. E,0,0
1992,2 star,sharjah,U. A. E,0,0
1992,5 star, Ajman and Umm Al-Qiwain,U. A. E,0,0
1992,4 star, Ajman and Umm Al-Qiwain,U. A. E,0,0
1992,3 star , Ajman and Umm Al-Qiwain,U. A. E,0,0
1992,2 star, Ajman and Umm Al-Qiwain,U. A. E,0,0
1992,5 star,  Ras Al Khaima & Fujeira ,U. A. E,0,0
1992,4 star,  Ras Al Khaima & Fujeira ,U. A. E,0,0
1992,3 star ,  Ras Al Khaima & Fujeira ,U. A. E,0,0
1992,2 star,  Ras Al Khaima & Fujeira ,U. A. E,0,0
1991,5 star,abu dhabi,U. A. E,17333,32445
1991,4 star,abu dhabi,U. A. E,12237,33668
1991,3 star ,abu dhabi,U. A. E,6467,8974
1991,2 star,abu dhabi,U. A. E,0,0
1991,5 star,dubai,U. A. E,17782,35043
1991,4 star,dubai,U. A. E,6019,8408
1991,3 star ,dubai,U. A. E,9825,12899
1991,2 star,dubai,U. A. E,10370,15419
1991,5 star,sharjah,U. A. E,24113,35237
1991,4 star,sharjah,U. A. E,19712,30218
1991,3 star ,sharjah,U. A. E,0,0
1991,2 star,sharjah,U. A. E,0,0
1991,5 star, Ajman and Umm Al-Qiwain,U. A. E,0,0
1991,4 star, Ajman and Umm Al-Qiwain,U. A. E,0,0
1991,3 star , Ajman and Umm Al-Qiwain,U. A. E,0,0
1991,2 star, Ajman and Umm Al-Qiwain,U. A. E,0,0
1991,5 star,  Ras Al Khaima & Fujeira ,U. A. E,0,0
1991,4 star,  Ras Al Khaima & Fujeira ,U. A. E,0,0
1991,3 star ,  Ras Al Khaima & Fujeira ,U. A. E,0,0
1991,2 star,  Ras Al Khaima & Fujeira ,U. A. E,0,0
1990,5 star,abu dhabi,U. A. E,16406,29328
1990,4 star,abu dhabi,U. A. E,12775,25897
1990,3 star ,abu dhabi,U. A. E,4943,6825
1990,2 star,abu dhabi,U. A. E,0,0
1990,5 star,dubai,U. A. E,17645,40204
1990,4 star,dubai,U. A. E,5843,8524
1990,3 star ,dubai,U. A. E,10573,12228
1990,2 star,dubai,U. A. E,2781,4931
1990,5 star,sharjah,U. A. E,19897,34078
1990,4 star,sharjah,U. A. E,17615,29004
1990,3 star ,sharjah,U. A. E,0,0
1990,2 star,sharjah,U. A. E,0,0
1990,5 star, Ajman and Umm Al-Qiwain,U. A. E,0,0
