class,emirate,guests,nationality,nights,year
5 star,Abu Dhabi,28200,U. A. E,63122,1995
4 star,Abu Dhabi,26756,U. A. E,53091,1995
3 star,Abu Dhabi,10520,U. A. E,12499,1995
2 star,Abu Dhabi,0,U. A. E,0,1995
5 star,Dubai,49744,U. A. E,78548,1995
4 star,Dubai,12949,U. A. E,18852,1995
3 star,Dubai,9606,U. A. E,18643,1995
2 star,Dubai,18055,U. A. E,30599,1995
5 star,Ajman and Sharjah,14950,U. A. E,21827,1995
4 star,Ajman and Sharjah,21752,U. A. E,29854,1995
3 star,Ajman and Sharjah,0,U. A. E,0,1995
2 star,Ajman and Sharjah,0,U. A. E,0,1995
5 star,Umm Al Quwain,0,U. A. E,0,1995
4 star,Umm Al Quwain,0,U. A. E,0,1995
3 star,Umm Al Quwain,0,U. A. E,0,1995
2 star,Umm Al Quwain,0,U. A. E,0,1995
5 star,Ras Al-Khaimah and Fujairah,0,U. A. E,0,1995
4 star,Ras Al-Khaimah and Fujairah,0,U. A. E,0,1995
3 star,Ras Al-Khaimah and Fujairah,0,U. A. E,0,1995
2 star,Ras Al-Khaimah and Fujairah,0,U. A. E,0,1995
5 star,Abu Dhabi,23427,U. A. E,57655,1994
4 star,Abu Dhabi,20731,U. A. E,49760,1994
3 star,Abu Dhabi,10659,U. A. E,15615,1994
2 star,Abu Dhabi,0,U. A. E,0,1994
5 star,Dubai,28589,U. A. E,51769,1994
4 star,Dubai,14985,U. A. E,22570,1994
3 star,Dubai,9949,U. A. E,13430,1994
2 star,Dubai,15341,U. A. E,23594,1994
5 star,Ajman and Sharjah,18211,U. A. E,27758,1994
4 star,Ajman and Sharjah,19035,U. A. E,31040,1994
3 star,Ajman and Sharjah,0,U. A. E,0,1994
2 star,Ajman and Sharjah,0,U. A. E,0,1994
5 star,Umm Al Quwain,0,U. A. E,0,1994
4 star,Umm Al Quwain,0,U. A. E,0,1994
3 star,Umm Al Quwain,0,U. A. E,0,1994
2 star,Umm Al Quwain,0,U. A. E,0,1994
5 star,Ras Al-Khaimah and Fujairah,0,U. A. E,0,1994
4 star,Ras Al-Khaimah and Fujairah,0,U. A. E,0,1994
3 star,Ras Al-Khaimah and Fujairah,0,U. A. E,0,1994
2 star,Ras Al-Khaimah and Fujairah,0,U. A. E,0,1994
5 star,Abu Dhabi,15789,U. A. E,33325,1993
4 star,Abu Dhabi,17172,U. A. E,40197,1993
3 star,Abu Dhabi,8170,U. A. E,10961,1993
2 star,Abu Dhabi,0,U. A. E,0,1993
5 star,Dubai,24515,U. A. E,44824,1993
4 star,Dubai,10030,U. A. E,14929,1993
3 star,Dubai,11948,U. A. E,16566,1993
2 star,Dubai,10845,U. A. E,17750,1993
5 star,Ajman and Sharjah,18119,U. A. E,31651,1993
4 star,Ajman and Sharjah,23555,U. A. E,36181,1993
3 star,Ajman and Sharjah,0,U. A. E,0,1993
2 star,Ajman and Sharjah,0,U. A. E,0,1993
5 star,Umm Al Quwain,0,U. A. E,0,1993
4 star,Umm Al Quwain,0,U. A. E,0,1993
3 star,Umm Al Quwain,0,U. A. E,0,1993
2 star,Umm Al Quwain,0,U. A. E,0,1993
5 star,Ras Al-Khaimah and Fujairah,0,U. A. E,0,1993
4 star,Ras Al-Khaimah and Fujairah,0,U. A. E,0,1993
3 star,Ras Al-Khaimah and Fujairah,0,U. A. E,0,1993
2 star,Ras Al-Khaimah and Fujairah,0,U. A. E,0,1993
5 star,Abu Dhabi,13946,U. A. E,30129,1992
4 star,Abu Dhabi,14256,U. A. E,38049,1992
3 star,Abu Dhabi,7579,U. A. E,11216,1992
2 star,Abu Dhabi,0,U. A. E,0,1992
5 star,Dubai,18735,U. A. E,33164,1992
4 star,Dubai,9325,U. A. E,12554,1992
3 star,Dubai,7048,U. A. E,9677,1992
2 star,Dubai,20701,U. A. E,30496,1992
5 star,Ajman and Sharjah,23854,U. A. E,37931,1992
4 star,Ajman and Sharjah,21620,U. A. E,33090,1992
3 star,Ajman and Sharjah,0,U. A. E,0,1992
2 star,Ajman and Sharjah,0,U. A. E,0,1992
5 star,Umm Al Quwain,0,U. A. E,0,1992
4 star,Umm Al Quwain,0,U. A. E,0,1992
3 star,Umm Al Quwain,0,U. A. E,0,1992
2 star,Umm Al Quwain,0,U. A. E,0,1992
5 star,Ras Al-Khaimah and Fujairah,0,U. A. E,0,1992
4 star,Ras Al-Khaimah and Fujairah,0,U. A. E,0,1992
3 star,Ras Al-Khaimah and Fujairah,0,U. A. E,0,1992
2 star,Ras Al-Khaimah and Fujairah,0,U. A. E,0,1992
5 star,Abu Dhabi,17333,U. A. E,32445,1991
4 star,Abu Dhabi,12237,U. A. E,33668,1991
3 star,Abu Dhabi,6467,U. A. E,8974,1991
2 star,Abu Dhabi,0,U. A. E,0,1991
5 star,Dubai,17782,U. A. E,35043,1991
4 star,Dubai,6019,U. A. E,8408,1991
3 star,Dubai,9825,U. A. E,12899,1991
2 star,Dubai,10370,U. A. E,15419,1991
5 star,Ajman and Sharjah,24113,U. A. E,35237,1991
4 star,Ajman and Sharjah,19712,U. A. E,30218,1991
3 star,Ajman and Sharjah,0,U. A. E,0,1991
2 star,Ajman and Sharjah,0,U. A. E,0,1991
5 star,Umm Al Quwain,0,U. A. E,0,1991
4 star,Umm Al Quwain,0,U. A. E,0,1991
3 star,Umm Al Quwain,0,U. A. E,0,1991
2 star,Umm Al Quwain,0,U. A. E,0,1991
5 star,Ras Al-Khaimah and Fujairah,0,U. A. E,0,1991
4 star,Ras Al-Khaimah and Fujairah,0,U. A. E,0,1991
3 star,Ras Al-Khaimah and Fujairah,0,U. A. E,0,1991
2 star,Ras Al-Khaimah and Fujairah,0,U. A. E,0,1991
5 star,Abu Dhabi,16406,U. A. E,29328,1990
4 star,Abu Dhabi,12775,U. A. E,25897,1990
3 star,Abu Dhabi,4943,U. A. E,6825,1990
2 star,Abu Dhabi,0,U. A. E,0,1990
5 star,Dubai,17645,U. A. E,40204,1990
4 star,Dubai,5843,U. A. E,8524,1990
3 star,Dubai,10573,U. A. E,12228,1990
2 star,Dubai,2781,U. A. E,4931,1990
